timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:23:13,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,1,0,0,0,1,0,0,1,0,0,0
2024-09-05 12:23:41,6,wrackdm17,100,world,Player_138.25.249.94,Player_138.25.249.94,0,1,0,0,0,1,0,0,0,1,1,0
2024-09-05 12:23:55,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,2,0,0,0,2,0,0,2,1,0,0
2024-09-05 12:24:28,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,3,0,0,0,3,0,0,3,1,0,0
2024-09-05 12:24:35,6,wrackdm17,100,world,Player_138.25.249.94,Player_138.25.249.94,0,3,0,0,1,3,0,0,0,2,2,0
2024-09-05 12:24:41,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,3,0,1,0,3,1,0,1,2,1,0
2024-09-05 12:25:52,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,6,3,1,1,3,0,1,1,2,1,0
2024-09-05 12:26:24,6,wrackdm17,100,world,Player_138.25.249.94,Player_138.25.249.94,0,4,0,1,1,3,0,1,0,3,3,0
2024-09-05 12:26:53,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,8,0,2,4,3,1,1,2,3,1,0
2024-09-05 12:27:12,6,wrackdm17,100,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,9,0,3,4,3,1,1,3,3,1,0
