map,latency,player,MOD_ROCKET_kill_count,MOD_ROCKET_SPLASH_kill_count,MOD_SHOTGUN_kill_count,MOD_GRENADE_kill_count,MOD_LIGHTNING_kill_count,MOD_RAILGUN_kill_count,MOD_GRENADE_SPLASH_kill_count,MOD_MACHINEGUN_kill_count,MOD_PLASMA_kill_count,MOD_TRIGGER_HURT_kill_count,MOD_PLASMA_SPLASH_kill_count,MOD_FALLING_kill_count,MOD_TELEFRAG_kill_count,Short Range_kills,Long Range_kills,total_kills,Short Range_percentage,Long Range_percentage
aggressor,0,Player_138.25.249.93,0,3,2,0,3,1,0,4,0,0,0,0,0,9,4,13,69.23076923076923,30.76923076923077
aggressor,200,Player_138.25.249.93,1,3,0,0,4,3,0,4,0,0,0,0,0,8,7,15,53.333333333333336,46.666666666666664
aggressor,100,Player_138.25.249.93,4,6,3,1,1,0,0,4,2,0,0,0,0,9,12,21,42.857142857142854,57.14285714285714
aggressor,50,Player_138.25.249.93,3,2,3,0,3,0,0,6,0,0,0,0,1,12,5,17,70.58823529411765,29.411764705882355
aggressor,150,Player_138.25.249.93,1,4,0,0,7,1,0,2,0,0,1,0,0,9,7,16,56.25,43.75
wrackdm17,0,Player_138.25.249.93,0,0,2,0,0,0,0,2,0,1,0,0,0,4,0,4,100.0,0.0
wrackdm17,200,Player_138.25.249.93,1,1,2,0,0,2,0,5,0,7,0,1,0,7,4,11,63.63636363636363,36.36363636363637
wrackdm17,100,Player_138.25.249.93,0,2,1,0,0,0,0,0,2,1,0,0,0,1,4,5,20.0,80.0
wrackdm17,50,Player_138.25.249.93,2,2,0,0,0,0,0,1,1,5,0,0,0,1,5,6,16.666666666666664,83.33333333333334
wrackdm17,150,Player_138.25.249.93,0,4,5,0,0,1,0,3,0,2,0,0,0,8,5,13,61.53846153846154,38.46153846153847
aggressor,0,Player_138.25.249.81,5,10,2,0,0,3,1,0,1,0,0,0,0,3,19,22,13.636363636363635,86.36363636363636
aggressor,200,Player_138.25.249.81,3,2,1,0,1,0,0,1,3,0,0,0,0,3,8,11,27.27272727272727,72.72727272727273
aggressor,100,Player_138.25.249.81,5,5,0,4,0,0,1,1,0,0,0,0,0,6,10,16,37.5,62.5
aggressor,50,Player_138.25.249.81,0,5,0,0,2,0,2,2,3,0,0,0,0,6,8,14,42.857142857142854,57.14285714285714
aggressor,150,Player_138.25.249.81,1,7,4,0,0,1,0,0,0,0,0,0,0,4,9,13,30.76923076923077,69.23076923076923
wrackdm17,0,Player_138.25.249.81,0,0,2,0,0,4,0,0,0,0,0,0,0,2,4,6,33.33333333333333,66.66666666666666
wrackdm17,200,Player_138.25.249.81,1,1,1,1,0,1,0,1,0,0,0,0,0,3,3,6,50.0,50.0
wrackdm17,100,Player_138.25.249.81,2,4,3,0,0,1,0,1,0,1,0,0,0,4,7,11,36.36363636363637,63.63636363636363
wrackdm17,50,Player_138.25.249.81,0,1,3,1,0,0,0,0,0,2,0,0,0,4,1,5,80.0,20.0
wrackdm17,150,Player_138.25.249.81,0,0,6,0,0,5,0,0,0,4,0,0,0,6,5,11,54.54545454545454,45.45454545454545
aggressor,0,Player_138.25.249.38,5,3,0,1,2,1,0,1,3,0,0,0,0,4,12,16,25.0,75.0
aggressor,200,Player_138.25.249.38,1,0,1,1,1,0,3,0,0,0,1,0,0,6,2,8,75.0,25.0
aggressor,100,Player_138.25.249.38,0,1,3,0,0,0,0,3,0,0,0,0,0,6,1,7,85.71428571428571,14.285714285714285
aggressor,50,Player_138.25.249.38,0,0,3,3,0,2,2,1,1,0,0,0,0,9,3,12,75.0,25.0
aggressor,150,Player_138.25.249.38,0,0,1,1,0,2,1,0,0,0,0,0,0,3,2,5,60.0,40.0
wrackdm17,0,Player_138.25.249.38,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,66.66666666666666,33.33333333333333
wrackdm17,200,Player_138.25.249.38,1,1,0,0,0,0,0,2,2,3,0,0,0,2,4,6,33.33333333333333,66.66666666666666
wrackdm17,100,Player_138.25.249.38,0,0,2,0,0,0,0,3,1,2,0,0,0,5,1,6,83.33333333333334,16.666666666666664
wrackdm17,50,Player_138.25.249.38,0,0,6,0,0,1,0,2,0,1,0,0,0,8,1,9,88.88888888888889,11.11111111111111
wrackdm17,150,Player_138.25.249.38,0,0,3,0,0,0,0,1,1,1,0,0,0,4,1,5,80.0,20.0
aggressor,0,Player_138.25.249.94,1,0,1,0,2,0,1,3,0,0,0,0,0,7,1,8,87.5,12.5
aggressor,200,Player_138.25.249.94,3,1,0,1,3,1,1,0,0,0,0,0,0,5,5,10,50.0,50.0
aggressor,100,Player_138.25.249.94,1,1,0,0,0,2,0,4,1,0,0,0,0,4,5,9,44.44444444444444,55.55555555555556
aggressor,50,Player_138.25.249.94,2,0,0,0,3,2,0,2,1,0,1,0,0,5,6,11,45.45454545454545,54.54545454545454
aggressor,150,Player_138.25.249.94,0,1,1,2,1,4,0,1,0,0,0,0,0,5,5,10,50.0,50.0
wrackdm17,0,Player_138.25.249.94,1,0,0,1,0,0,0,1,2,5,0,0,0,2,3,5,40.0,60.0
wrackdm17,200,Player_138.25.249.94,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,3,33.33333333333333,66.66666666666666
wrackdm17,100,Player_138.25.249.94,0,1,0,0,0,1,0,4,1,3,0,0,0,4,3,7,57.14285714285714,42.857142857142854
wrackdm17,50,Player_138.25.249.94,0,0,2,1,0,0,0,1,0,3,0,1,0,4,0,4,100.0,0.0
