game_round,map,latency,player_id,player_ip,score
1,aggressor,0,1,Player_138.25.249.81,20.0
1,aggressor,0,2,Player_138.25.249.94,8.0
1,aggressor,0,3,Player_138.25.249.38,14.0
1,aggressor,0,4,Player_138.25.249.93,10.0
1,aggressor,0,5,,0.0
2,wrackdm17,0,1,Player_138.25.249.81,6.0
2,wrackdm17,0,2,Player_138.25.249.94,2.0
2,wrackdm17,0,3,Player_138.25.249.38,2.0
2,wrackdm17,0,4,Player_138.25.249.93,3.0
2,wrackdm17,0,5,,0.0
3,aggressor,0,1,Player_138.25.249.81,11.0
3,aggressor,0,2,Player_138.25.249.94,9.0
3,aggressor,0,3,Player_138.25.249.38,4.0
3,aggressor,0,4,Player_138.25.249.93,15.0
3,aggressor,0,5,,0.0
4,wrackdm17,200,1,Player_138.25.249.81,6.0
4,wrackdm17,200,2,Player_138.25.249.94,1.0
4,wrackdm17,200,3,Player_138.25.249.38,4.0
4,wrackdm17,200,4,Player_138.25.249.93,11.0
4,wrackdm17,200,5,,0.0
5,aggressor,200,1,Player_138.25.249.81,16.0
5,aggressor,200,2,Player_138.25.249.94,7.0
5,aggressor,200,3,Player_138.25.249.38,7.0
5,aggressor,200,4,Player_138.25.249.93,20.0
5,aggressor,200,5,,0.0
6,wrackdm17,100,1,Player_138.25.249.81,8.0
6,wrackdm17,100,2,Player_138.25.249.94,4.0
6,wrackdm17,100,3,Player_138.25.249.38,5.0
6,wrackdm17,100,4,Player_138.25.249.93,4.0
6,wrackdm17,100,5,,0.0
7,aggressor,100,1,Player_138.25.249.81,8.0
7,aggressor,100,2,Player_138.25.249.94,11.0
7,aggressor,100,3,Player_138.25.249.38,12.0
7,aggressor,100,4,Player_138.25.249.93,18.0
7,aggressor,100,5,,0.0
8,wrackdm17,50,1,Player_138.25.249.81,7.0
8,wrackdm17,50,2,Player_138.25.249.94,0.0
8,wrackdm17,50,3,Player_138.25.249.38,8.0
8,wrackdm17,50,4,Player_138.25.249.93,6.0
8,wrackdm17,50,5,,0.0
9,aggressor,150,1,Player_138.25.249.81,13.0
9,aggressor,150,2,Player_138.25.249.94,10.0
9,aggressor,150,3,Player_138.25.249.38,5.0
9,aggressor,150,4,Player_138.25.249.93,16.0
9,aggressor,150,5,,0.0
10,wrackdm17,150,1,Player_138.25.249.81,8.0
10,wrackdm17,150,2,Player_138.25.249.94,4.0
10,wrackdm17,150,3,Player_138.25.249.38,4.0
10,wrackdm17,150,4,Player_138.25.249.93,11.0
10,wrackdm17,150,5,,0.0
